scheme_id,name,name_hi,description,description_hi,category,state,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_income_max,eligibility_caste,eligibility_occupation,eligibility_disability,benefit_amount,benefit_type,application_url
PM-KISAN,PM-Kisan Samman Nidhi,पीएम-किसान सम्मान निधि,Income support for farmers,किसानों के लिए आय सहायता,Agriculture,All India,18,120,ANY,200000,ANY,farmer,false,6000,Annual Cash Transfer,https://pmkisan.gov.in
PMAY-G,Pradhan Mantri Awas Yojana - Gramin,प्रधानमंत्री आवास योजना - ग्रामीण,Housing for rural poor,ग्रामीण गरीबों के लिए आवास,Housing,All India,18,120,ANY,300000,ANY,ANY,false,120000,Housing Grant,https://pmayg.nic.in
NSP,National Scholarship Portal,राष्ट्रीय छात्रवृत्ति पोर्टल,Scholarships for students,छात्रों के लिए छात्रवृत्ति,Education,All India,16,25,ANY,250000,"sc,st,obc",student,false,50000,Annual Scholarship,https://scholarships.gov.in
PMJAY,Ayushman Bharat - PMJAY,आयुष्मान भारत - पीएमजेएवाई,Health insurance for poor families,गरीब परिवारों के लिए स्वास्थ्य बीमा,Health,All India,0,120,ANY,500000,ANY,ANY,false,500000,Health Insurance,https://pmjay.gov.in
MGNREGA,Mahatma Gandhi NREGA,महात्मा गांधी नरेगा,Employment guarantee scheme,रोजगार गारंटी योजना,Employment,All India,18,65,ANY,ANY,ANY,unemployed,false,0,Employment Days,https://nrega.nic.in
PMUY,Pradhan Mantri Ujjwala Yojana,प्रधानमंत्री उज्ज्वला योजना,Free LPG connections for poor women,गरीब महिलाओं के लिए मुफ्त एलपीजी कनेक्शन,Social Welfare,All India,18,120,Female,ANY,ANY,ANY,false,1600,LPG Connection,https://pmuy.gov.in
SSY,Sukanya Samriddhi Yojana,सुकन्या समृद्धि योजना,Savings scheme for girl child,बालिकाओं के लिए बचत योजना,Financial Assistance,All India,0,10,Female,ANY,ANY,ANY,false,0,Savings Account,https://www.india.gov.in/sukanya-samriddhi-yojana
PMSBY,PM Suraksha Bima Yojana,पीएम सुरक्षा बीमा योजना,Accident insurance scheme,दुर्घटना बीमा योजना,Financial Assistance,All India,18,70,ANY,ANY,ANY,ANY,false,200000,Accident Insurance,https://www.india.gov.in/pmsby
PMJJBY,PM Jeevan Jyoti Bima Yojana,पीएम जीवन ज्योति बीमा योजना,Life insurance scheme,जीवन बीमा योजना,Financial Assistance,All India,18,50,ANY,ANY,ANY,ANY,false,200000,Life Insurance,https://www.india.gov.in/pmjjby
PMEGP,PM Employment Generation Programme,पीएम रोजगार सृजन कार्यक्रम,Self-employment scheme,स्व-रोजगार योजना,Employment,All India,18,120,ANY,ANY,ANY,ANY,false,2500000,Business Loan,https://www.kviconline.gov.in/pmegpeportal
PMFBY,Pradhan Mantri Fasal Bima Yojana,प्रधानमंत्री फसल बीमा योजना,Crop insurance for farmers,किसानों के लिए फसल बीमा,Agriculture,All India,18,120,ANY,ANY,ANY,farmer,false,0,Crop Insurance,https://pmfby.gov.in
BBBP,Beti Bachao Beti Padhao,बेटी बचाओ बेटी पढ़ाओ,Girl child welfare scheme,बालिका कल्याण योजना,Social Welfare,All India,0,21,Female,ANY,ANY,ANY,false,0,Awareness Campaign,https://wcd.nic.in/bbbp-schemes
